"fs_orleans" "g_faust" "g_iphigenia"
"steht" 0.127733694600348 0.0904421977454052 0.0327933363940447
"aufzug" 0.232243081091542 0 0.0327933363940447
"diese" 0.139345848654925 0.0613714913272392 0.0655866727880895
"über" 0.0890265144184246 0.109822668690849 0.0524693382304716
"himmel" 0.143216566673118 0.0710617267999612 0.0327933363940447
"zurück" 0.150958002709503 0.0355308633999806 0.0918213419033252
"meinem" 0.0774143603638475 0.106592590199942 0.0655866727880895
"aber" 0.116121540545771 0.0807519622726832 0.0459106709516626
"deiner" 0.131604412618541 0.0419910203817953 0.0983800091821342
"gut" 0.030965744145539 0.14535353209083 0.0590280055092805
"recht" 0.030965744145539 0.142123453599922 0.0655866727880895
"sorel" 0.236113799109735 0 0
"viel" 0.0387071801819237 0.122742982654478 0.0852626746245163
"wort" 0.0890265144184246 0.0387609418908879 0.170525349249033
"allen" 0.0967679504548094 0.0807519622726832 0.0655866727880895
"liebe" 0.123862976582156 0.0710617267999612 0.0393520036728537
"ganz" 0.0774143603638475 0.0969023547272199 0.0590280055092805
"mutter" 0.0812850783820399 0.0839820407635906 0.0787040073457074
"pylades" 0 0 0.386961369449728
"tag" 0.0658022063092704 0.106592590199942 0.0590280055092805
"herr" 0.0696729243274627 0.129203139636293 0
"nacht" 0.0503193342365009 0.113052747181757 0.0655866727880895
"gar" 0 0.171194160018088 0.0262346691152358
"menschen" 0.0541900522546932 0.0969023547272199 0.0852626746245163
"volk" 0.16257015676408 0.0258406279272586 0.0459106709516626
"glück" 0.092897232436617 0.0516812558545173 0.104938676460943
"ihre" 0.116121540545771 0.0516812558545173 0.0655866727880895
"jungfrau" 0.201277336946003 0.00323007849090733 0.0196760018364268
"schwert" 0.170311592800464 0.00646015698181466 0.0655866727880895
"fort" 0.0696729243274627 0.106592590199942 0.0262346691152358
"gen" 0 0.0581414128363319 0.242670689315931
"lionel" 0.212889491000581 0 0
"macht" 0.0696729243274627 0.0936722762363125 0.0524693382304716
"blut" 0.0774143603638475 0.0678316483090539 0.0852626746245163
"haben" 0.0541900522546932 0.0839820407635906 0.0918213419033252
"thoas" 0 0 0.354168033055683
"zeit" 0.0503193342365009 0.0969023547272199 0.0721453400668984
"isabeau" 0.205148054964196 0 0
"tod" 0.0580607702728856 0.0387609418908879 0.170525349249033
"ihren" 0.0774143603638475 0.0419910203817953 0.12461467829737
"seinen" 0.0735436423456551 0.0355308633999806 0.144290680133797
"vater" 0.0774143603638475 0.0323007849090733 0.144290680133797
"chatel" 0.197406618927811 0 0
"dieses" 0.119992258563964 0.0323007849090733 0.0655866727880895
"heil" 0.0387071801819237 0.0419910203817953 0.18364268380665
"herzen" 0.0735436423456551 0.0775218837817759 0.0524693382304716
"ins" 0.0735436423456551 0.103362511709035 0
"sehn" 0.0812850783820399 0.0613714913272392 0.0721453400668984
"dies" 0.104509386491194 0.0581414128363319 0.0327933363940447
"gehn" 0.030965744145539 0.129203139636293 0.0131173345576179
"oder" 0.0696729243274627 0.0516812558545173 0.104938676460943
"weg" 0.061931488291078 0.0516812558545173 0.118056011018561
"hin" 0.0774143603638475 0.0775218837817759 0.0327933363940447
"seiner" 0.0696729243274627 0.0419910203817953 0.118056011018561
"dort" 0.0851557964002322 0.0678316483090539 0.0327933363940447
"komm" 0.0464486162183085 0.0839820407635906 0.0590280055092805
"mag" 0.0154828720727695 0.125973061145386 0.0262346691152358
"seh" 0.0503193342365009 0.0807519622726832 0.0590280055092805
"bald" 0.0154828720727695 0.0839820407635906 0.104938676460943
"busen" 0.0425778982001161 0.0678316483090539 0.0918213419033252
"gern" 0.00774143603638475 0.116282825672664 0.0524693382304716
"werden" 0.0967679504548094 0.0484511773636099 0.0393520036728537
"habt" 0.0774143603638475 0.0710617267999612 0.0196760018364268
"haupt" 0.0774143603638475 0.0129203139636293 0.137732012854988
"marthe" 0 0.14535353209083 0
"sieht" 0.0696729243274627 0.0710617267999612 0.0327933363940447
"tritt" 0.0967679504548094 0.0549113343454246 0.0196760018364268
"weh" 0.0425778982001161 0.0872121192544979 0.0459106709516626
"weiß" 0.0503193342365009 0.0872121192544979 0.0327933363940447
"darf" 0.0580607702728856 0.0516812558545173 0.0852626746245163
"eure" 0.123862976582156 0.0258406279272586 0.0262346691152358
"ritter" 0.16257015676408 0.00646015698181466 0
"seid" 0.0541900522546932 0.0839820407635906 0.0262346691152358
"talbot" 0.170311592800464 0 0
"teufel" 0.0270950261273466 0.119512904163571 0
"arkas" 0 0 0.282022692988785
"augen" 0.0851557964002322 0.0549113343454246 0.0262346691152358
"her" 0.061931488291078 0.0581414128363319 0.0590280055092805
"blick" 0.0658022063092704 0.0387609418908879 0.0852626746245163
"erde" 0.0464486162183085 0.0613714913272392 0.0721453400668984
"haus" 0.0232243081091542 0.0775218837817759 0.0787040073457074
"deinem" 0.0541900522546932 0.0581414128363319 0.0590280055092805
"erst" 0.0154828720727695 0.0969023547272199 0.0459106709516626
"freund" 0.0464486162183085 0.0742918052908686 0.0393520036728537
"meines" 0.104509386491194 0.00646015698181466 0.0787040073457074
"nein" 0.0541900522546932 0.0710617267999612 0.0327933363940447
"seinem" 0.0658022063092704 0.0419910203817953 0.0721453400668984
"warum" 0.0696729243274627 0.0549113343454246 0.0393520036728537
"bis" 0.0890265144184246 0.0355308633999806 0.0393520036728537
"bleibt" 0.0735436423456551 0.029070706418166 0.0787040073457074
"raimond" 0.154828720727695 0 0
"sohn" 0.0503193342365009 0.0226105494363513 0.131173345576179
"eines" 0.0774143603638475 0.0258406279272586 0.0721453400668984
"freude" 0.0425778982001161 0.0419910203817953 0.0983800091821342
"keine" 0.061931488291078 0.0549113343454246 0.0393520036728537
"stimme" 0.0464486162183085 0.0452210988727026 0.0852626746245163
"alten" 0.0348364621637314 0.0387609418908879 0.111497343739752
"kind" 0.0348364621637314 0.0839820407635906 0.0196760018364268
"unter" 0.0696729243274627 0.0516812558545173 0.0262346691152358
"weib" 0.0696729243274627 0.0419910203817953 0.0459106709516626
"herrn" 0.0387071801819237 0.0839820407635906 0.00655866727880895
"sagen" 0.0232243081091542 0.0839820407635906 0.0327933363940447
"götter" 0.0154828720727695 0.00646015698181466 0.196760018364268
"gretchen" 0 0.116282825672664 0
"lang" 0.00387071801819237 0.0516812558545173 0.12461467829737
"laßt" 0.0658022063092704 0.0355308633999806 0.0524693382304716
"unser" 0.0890265144184246 0.0161503924545366 0.0524693382304716
"unsre" 0.0774143603638475 0.0226105494363513 0.0590280055092805
"arm" 0.0580607702728856 0.0323007849090733 0.0655866727880895
"krone" 0.112250822527579 0.0161503924545366 0.00655866727880895
"lange" 0.0193535900909619 0.0775218837817759 0.0393520036728537
"ohne" 0.0541900522546932 0.0452210988727026 0.0459106709516626
"schwester" 0.0464486162183085 0.00323007849090733 0.144290680133797
"willst" 0.0464486162183085 0.0355308633999806 0.0787040073457074
"liegt" 0.0541900522546932 0.0516812558545173 0.0262346691152358
"reich" 0.0696729243274627 0.019380470945444 0.0655866727880895
"sagt" 0.0503193342365009 0.0549113343454246 0.0262346691152358
